Features: 16,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.99",95204,63,0,0,99.93387007043363,
,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.0625, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.0625, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.5, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.0625",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.5, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.0625",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.7",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.2",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.99, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.2",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.7",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.99",95125,71,0,0,99.92541703432917,
,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.05, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.0625, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.1, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.1, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.5, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.5, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.99",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.9, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.9, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.99",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.99",93925,191,0,0,99.7970589485316,
,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",15546,494,27,7532,97.79227933387008,
"Nu: 0.05, Gamma: 0.0625",15548,521,25,7505,97.68634264163735,
"Nu: 0.05, Gamma: 0.1",15549,654,24,7372,97.12699690664859,
"Nu: 0.05, Gamma: 0.2",15556,1013,17,7013,95.63540828001187,
"Nu: 0.05, Gamma: 0.5",15562,1697,11,6329,92.76240518666046,
"Nu: 0.05, Gamma: 0.7",15565,1983,8,6043,91.56320183058604,
"Nu: 0.05, Gamma: 0.9",15566,2403,7,5623,89.78770286876563,
"Nu: 0.05, Gamma: 0.99",15566,2544,7,5482,89.19021992457307,
"Nu: 0.0625, Gamma: 0.05",15547,572,26,7454,97.46599432179329,
"Nu: 0.0625, Gamma: 0.0625",15548,590,25,7436,97.39395737107505,
"Nu: 0.0625, Gamma: 0.1",15549,697,24,7329,96.9447857960083,
"Nu: 0.0625, Gamma: 0.2",15556,1015,17,7011,95.62693334463324,
"Nu: 0.0625, Gamma: 0.5",15562,1653,11,6373,92.94885376499005,
"Nu: 0.0625, Gamma: 0.7",15565,2042,8,5984,91.31319123691681,
"Nu: 0.0625, Gamma: 0.9",15566,2265,7,5761,90.37247340989025,
"Nu: 0.0625, Gamma: 0.99",15566,2370,7,5656,89.92753930251281,
"Nu: 0.1, Gamma: 0.05",15547,837,26,7189,96.34306538412645,
"Nu: 0.1, Gamma: 0.0625",15549,856,24,7170,96.27102843340819,
"Nu: 0.1, Gamma: 0.1",15554,908,19,7118,96.07186745201068,
"Nu: 0.1, Gamma: 0.2",15556,1032,17,6994,95.554896393915,
