ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
1830,1316.0,5681.0,1410.0,1336.0,1389.0,1180.0,1184.0,1151.0,1181.0,1163.0,1128.0,1130.0,1400.0,1247.0,1497.0,fluidanimate
279,87.0,4084.0,173.0,143.0,122.0,116.0,92.0,92.0,87.0,97.0,102.0,85.0,179.0,78.0,89.0,fluidanimate
334,217.0,3641.0,332.0,201.0,217.0,197.0,185.0,173.0,188.0,178.0,161.0,172.0,262.0,198.0,204.0,fluidanimate
334,136.0,3139.0,149.0,266.0,169.0,137.0,133.0,122.0,132.0,132.0,118.0,104.0,201.0,104.0,105.0,fluidanimate
300,129.0,3379.0,207.0,135.0,208.0,158.0,138.0,151.0,136.0,131.0,128.0,118.0,211.0,118.0,115.0,fluidanimate
303,120.0,3516.0,233.0,184.0,139.0,175.0,147.0,143.0,156.0,137.0,125.0,131.0,208.0,137.0,131.0,fluidanimate
195,110.0,3122.0,177.0,131.0,137.0,90.0,114.0,102.0,100.0,139.0,84.0,95.0,155.0,90.0,89.0,fluidanimate
218,89.0,2908.0,135.0,124.0,126.0,106.0,97.0,127.0,101.0,118.0,124.0,82.0,167.0,88.0,82.0,fluidanimate
212,107.0,3086.0,179.0,154.0,136.0,125.0,109.0,98.0,127.0,132.0,101.0,126.0,176.0,108.0,108.0,fluidanimate
229,92.0,2830.0,189.0,143.0,135.0,98.0,97.0,97.0,85.0,116.0,98.0,90.0,179.0,98.0,86.0,fluidanimate
225,113.0,3642.0,164.0,137.0,137.0,136.0,111.0,109.0,118.0,104.0,126.0,107.0,183.0,104.0,113.0,fluidanimate
199,90.0,2921.0,159.0,123.0,129.0,104.0,116.0,94.0,92.0,102.0,85.0,101.0,166.0,89.0,101.0,fluidanimate
251,91.0,2851.0,171.0,144.0,144.0,143.0,110.0,130.0,119.0,106.0,120.0,82.0,179.0,106.0,96.0,fluidanimate
482,116.0,3085.0,196.0,155.0,137.0,106.0,133.0,114.0,113.0,116.0,108.0,97.0,160.0,104.0,105.0,fluidanimate
319,89.0,3056.0,176.0,149.0,154.0,146.0,123.0,122.0,132.0,119.0,117.0,83.0,191.0,89.0,106.0,fluidanimate
445,109.0,3437.0,182.0,172.0,166.0,156.0,141.0,144.0,133.0,148.0,133.0,104.0,204.0,95.0,110.0,fluidanimate
