Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 5e-05, Gamma: 1e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 2e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 3e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 4e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 5e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 7e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 9e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.0001",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.0002",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 5e-05, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 1e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 2e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 3e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 4e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 5e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 7e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 9e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.0001",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.0002",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 6e-05, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 1e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 2e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 3e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 4e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 5e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 7e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 7e-05, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
