ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes
65,11,6,11,14,11,5,7,2,9,5,11,10,13,17,19,blackscholes
9,0,1,1,2,5,2,1,1,1,1,1,2,2,2,1,blackscholes
5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,blackscholes
10,0,1,2,1,4,0,0,0,0,1,4,0,1,0,1,blackscholes
9,0,1,1,0,2,0,0,0,0,0,2,1,2,1,2,blackscholes
7,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,blackscholes
7,0,0,0,0,3,0,0,0,0,0,3,1,0,0,1,blackscholes
6,1,0,1,0,2,0,0,0,0,0,2,1,1,1,0,blackscholes
5,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,blackscholes
5,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,blackscholes
6,1,2,2,1,4,0,1,1,1,1,3,2,1,1,1,blackscholes
6,2,2,2,2,4,2,2,2,2,2,2,0,1,1,0,blackscholes
11,1,1,1,2,3,1,1,2,2,2,0,2,1,2,0,blackscholes
9,2,2,2,2,8,2,3,2,2,2,6,2,0,0,0,blackscholes
13,0,1,1,2,5,1,1,1,1,1,2,3,2,1,2,blackscholes
11,1,2,1,3,4,1,1,1,2,1,1,1,1,1,0,blackscholes
83,7,3,6,9,6,4,8,4,3,7,3,12,8,11,29,blackscholes
7,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,blackscholes
7,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,blackscholes
8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,blackscholes
8,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,blackscholes
6,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,blackscholes
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,blackscholes
8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,blackscholes
6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,blackscholes
5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,blackscholes
8,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,blackscholes
5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,blackscholes
11,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,blackscholes
7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,blackscholes
11,0,1,1,1,1,1,1,3,2,2,2,2,2,3,4,blackscholes
14,0,0,1,0,0,1,1,0,1,2,1,1,1,3,2,blackscholes
196,166,24,18,19,23,14,14,9,6,6,5,5,12,20,29,blackscholes
10,86,1,1,1,2,1,3,1,4,1,1,2,1,2,1,blackscholes
10,98,0,0,0,0,0,0,0,1,1,0,0,0,0,0,blackscholes
8,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,blackscholes
9,104,0,0,0,1,1,0,0,1,0,0,0,1,2,0,blackscholes
14,101,0,0,1,0,0,0,0,0,1,0,0,1,1,2,blackscholes
6,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,blackscholes
5,80,0,0,0,0,0,0,0,1,0,0,0,0,0,1,blackscholes
5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,blackscholes
5,80,1,0,0,1,0,0,0,0,0,0,0,1,0,0,blackscholes
4,73,1,0,0,1,0,1,0,0,0,0,0,0,1,0,blackscholes
8,54,1,0,0,0,0,0,0,0,0,0,0,0,1,1,blackscholes
8,103,0,1,2,0,1,0,0,0,0,1,1,0,1,0,blackscholes
11,101,1,1,0,1,0,0,0,1,0,0,0,1,1,3,blackscholes
14,59,3,3,2,2,2,2,2,1,2,1,1,1,2,1,blackscholes
15,78,2,1,1,4,1,1,1,1,0,1,0,2,0,0,blackscholes
135,117,43,12,18,22,7,7,5,4,36,2,6,17,30,34,blackscholes
16,75,17,2,4,1,1,1,1,1,16,2,3,2,8,6,blackscholes
9,80,12,2,1,3,2,2,2,2,21,3,2,2,7,5,blackscholes
8,76,12,0,1,0,0,0,0,0,13,0,2,0,1,3,blackscholes
13,59,25,0,1,1,1,1,0,0,26,1,2,0,0,4,blackscholes
13,69,16,0,1,0,0,0,1,0,18,1,2,0,5,2,blackscholes
6,47,13,0,0,0,0,0,0,0,14,0,2,1,0,2,blackscholes
7,53,12,0,1,1,0,0,0,0,12,0,2,0,1,3,blackscholes
7,57,11,0,0,1,0,0,0,0,13,0,2,0,2,2,blackscholes
